StateAbbrev,NCESDistrictID,DistrictName,share_inperson,share_hybrid,share_virtual,StateAssignedDistrictID
AK,200001,Lower Kuskokwim School District,.092156909,.072725944,.83511716,31
AK,200003,Lower Yukon School District,.0742798,.25597817,.66974205,32
AK,200004,Yupiit School District,0,.51014912,.48985088,54
AK,200005,Kashunamiut School District,.3990238,.10128127,.49969494,55
AK,200006,Mount Edgecumbe High School Agency,1,0,0,98
AK,200007,Aleutians East Borough School District,1,0,0,56
AK,200010,Aleutian Region School District,1,0,0,4
AK,200020,Bering Strait School District,.85241973,.013046388,.1345339,7
AK,200030,Bristol Bay Borough School District,.39130434,0,.60869563,8
AK,200050,Alaska Gateway School District,.94689405,0,.053105969,3
AK,200060,Cordova City School District,.88841486,0,.11158516,12
AK,200070,Copper River School District,1,0,0,11
AK,200090,Craig City School District,.90965092,0,.090349078,13
AK,200100,Delta-Greely School District,.80885637,0,.19114362,14
AK,200120,Dillingham City School District,.70060718,0,.29939282,15
AK,200130,Galena City School District,.93282151,0,.067178503,17
AK,200150,Ketchikan Gateway Borough School District,.88031006,.11968993,0,25
AK,200180,Anchorage School District,.21171358,.0044261143,.78386033,5
AK,200210,Juneau Borough School District,.0044926261,.50717843,.48832893,22
AK,200240,Sitka School District,.62548918,.21353611,.16097474,42
AK,200270,Haines Borough School District,.90343136,.096568629,0,18
AK,200300,Hoonah City School District,.80387598,0,.19612403,19
AK,200360,Kake City School District,.20724346,0,.79275656,23
AK,200390,Kenai Peninsula Borough School District,.61891073,0,.38108927,24
AK,200450,Klawock City School District,.59649122,.40350878,0,27
AK,200480,Kodiak Island Borough School District,.80634296,0,.19365706,28
AK,200485,Lake and Peninsula Borough School District,.9859727,0,.014027316,30
AK,200510,Matanuska-Susitna Borough School District,.57913709,.38928366,.03157929,33
AK,200520,Iditarod Area School District,1,0,0,21
AK,200525,Annette Island School District,0,.2243083,.77569169,6
AK,200540,Nenana City School District,.1948718,0,.80512822,34
AK,200570,Nome Public Schools,.90373671,0,.09626326,35
AK,200600,Fairbanks North Star Borough School District,.29636839,.0072752452,.69635636,16
AK,200610,North Slope Borough School District,.068619244,.42003718,.51134354,36
AK,200625,Northwest Arctic Borough School District,0,.59791189,.40208814,37
AK,200630,Pelican City School District,.31632653,0,.68367344,38
AK,200660,Petersburg Borough School District,.70318353,.10299625,.19382022,39
AK,200670,Pribilof School District,1,0,0,40
AK,200680,Saint Mary's School District,0,.30810812,.69189191,46
AK,200690,Skagway School District,1,0,0,43
AK,200700,Southeast Island School District,.91442251,0,.085577495,44
AK,200710,Southwest Region School District,.70515352,.014185671,.28066081,45
AK,200715,Tanana City School District,1,0,0,53
AK,200720,Unalaska City School District,.59924877,0,.40075123,47
AK,200730,Chatham School District,.49924812,.50075185,0,9
AK,200760,Kuspuk School District,.67303228,0,.32696775,29
AK,200770,Denali Borough School District,.089007504,0,.9109925,2
AK,200775,Yukon Flats School District,.70609105,0,.29390892,51
AK,200780,Valdez City School District,1,0,0,48
AK,200810,Wrangell Public School District,1,0,0,49
AK,200840,Yakutat School District,1,0,0,50
AK,200862,Yukon-Koyukuk School District,.87008023,0,.12991975,52
AL,100005,Albertville City,1,0,0,101
AL,100006,Marshall County,1,0,0,48
AL,100007,Hoover City,0,1,0,158
AL,100008,Madison City,1,0,0,169
AL,100011,Leeds City,1,0,0,167
AL,100012,Boaz City,1,0,0,115
AL,100013,Trussville City,0,1,0,205
AL,100030,Alexander City,.5,.5,0,102
AL,100060,Andalusia City,1,0,0,104
AL,100090,Anniston City,.75,.25,0,105
AL,100100,Arab City,1,0,0,106
AL,100120,Athens City,1,0,0,107
AL,100180,Attalla City,.75,.25,0,109
AL,100185,Saraland City,1,0,0,187
AL,100188,Chickasaw City,.75,.25,0,121
AL,100189,Satsuma City,.5,.5,0,196
AL,100190,Alabaster City,1,0,0,103
AL,100194,Pelham City,.5,.5,0,177
AL,100195,Pike Road City,.5,.5,0,186
AL,100197,Acceleration Day and Evening Academy,1,0,0,800
AL,100199,University Charter School,1,0,0,801
AL,100201,Legacy Prep,1,0,0,803
AL,100202,Gulf Shores City,1,0,0,152
AL,100203,LEAD Academy,1,0,0,802
AL,100204,i3 Academy,0,1,0,805
AL,100210,Auburn City,0,1,0,110
AL,100240,Autauga County,1,0,0,1
AL,100270,Baldwin County,1,0,0,2
AL,100300,Barbour County,.5,0,.5,3
AL,100330,Bessemer City,.5,.5,0,113
AL,100360,Bibb County,1,0,0,4
AL,100390,Birmingham City,0,.75,.25,114
AL,100420,Blount County,1,0,0,5
AL,100450,Brewton City,1,0,0,116
AL,100480,Bullock County,0,1,0,6
AL,100510,Butler County,1,0,0,7
AL,100540,Calhoun County,1,0,0,8
AL,100600,Chambers County,0,1,0,9
AL,100630,Cherokee County,1,0,0,10
AL,100660,Chilton County,1,0,0,11
AL,100690,Choctaw County,.75,0,.25,12
AL,100720,Clarke County,1,0,0,13
AL,100750,Clay County,.75,.25,0,14
AL,100780,Cleburne County,.5,.5,0,15
AL,100810,Coffee County,1,0,0,16
AL,100840,Colbert County,1,0,0,17
AL,100870,Conecuh County,.75,0,.25,18
AL,100900,Coosa County,.5,0,.5,19
AL,100930,Covington County,1,0,0,20
AL,100960,Crenshaw County,1,0,0,21
AL,100990,Cullman City,.25,.75,0,125
AL,101020,Cullman County,1,0,0,22
AL,101050,Dale County,1,0,0,23
AL,101080,Daleville City,1,0,0,126
AL,101110,Dallas County,0,1,0,24
AL,101140,DeKalb County,1,0,0,25
AL,101170,Decatur City,0,1,0,127
AL,101200,Demopolis City,1,0,0,128
AL,101230,Dothan City,0,1,0,130
AL,101260,Elba City,.5,.5,0,131
AL,101290,Elmore County,0,1,0,26
AL,101320,Enterprise City,.75,.25,0,132
AL,101350,Escambia County,1,0,0,27
AL,101380,Etowah County,1,0,0,28
AL,101410,Eufaula City,1,0,0,133
AL,101440,Fairfield City,.75,.25,0,137
AL,101470,Fayette County,1,0,0,29
AL,101530,Florence City,0,1,0,141
AL,101560,Fort Payne City,1,0,0,143
AL,101590,Franklin County,1,0,0,30
AL,101620,Gadsden City,.75,0,.25,144
AL,101640,Geneva City,1,0,0,146
AL,101660,Geneva County,1,0,0,31
AL,101680,Greene County,.25,0,.75,32
AL,101690,Guntersville City,1,0,0,154
AL,101710,Hale County,1,0,0,33
AL,101720,Haleyville City,1,0,0,155
AL,101730,Hartselle City,0,1,0,156
AL,101740,Henry County,0,1,0,34
AL,101760,Homewood City,1,0,0,157
AL,101770,Houston County,1,0,0,35
AL,101800,Huntsville City,1,0,0,159
AL,101830,Jackson County,1,0,0,36
AL,101860,Jacksonville City,1,0,0,162
AL,101890,Jasper City,1,0,0,163
AL,101920,Jefferson County,1,0,0,37
AL,101950,Lamar County,1,0,0,38
AL,101980,Lanett City,.5,.5,0,165
AL,102010,Lauderdale County,.75,.25,0,39
AL,102040,Lawrence County,0,1,0,40
AL,102070,Lee County,1,0,0,41
AL,102100,Limestone County,1,0,0,42
AL,102130,Linden City,.25,.75,0,168
AL,102160,Lowndes County,.25,0,.75,43
AL,102190,Macon County,.25,.75,0,44
AL,102220,Madison County,1,0,0,45
AL,102250,Marengo County,1,0,0,46
AL,102310,Marion County,.5,.5,0,47
AL,102350,Midfield City,.25,0,.75,171
AL,102370,Mobile County,1,0,0,49
AL,102400,Monroe County,.5,.25,.25,50
AL,102430,Montgomery County,.75,0,.25,51
AL,102480,Morgan County,0,1,0,52
AL,102490,Mountain Brook City,.25,.75,0,175
AL,102520,Muscle Shoals City,1,0,0,176
AL,102550,Oneonta City,.75,.25,0,178
AL,102580,Opelika City,1,0,0,179
AL,102610,Opp City,.5,.5,0,180
AL,102635,Oxford City,0,1,0,181
AL,102640,Ozark City,1,0,0,182
AL,102650,Pell City,.5,.5,0,183
